driver,2021,2022,2023,2024,2025
revenue_growth_pct,,0.10598042152522753,0.11979863303194051,0.15162034444917247,0.13041364423095622
gross_margin_pct,0.5875557971738061,0.570230993526296,0.5453017103013743,0.5533848038739037,0.5397136155888543
cogs_pct_revenue,0.4124442028261939,0.4297690064737039,0.45469828969862564,0.44661519612609635,0.4602863844111457
sga_pct_revenue,0.8532021198303248,0.7561543657375207,0.6527961299858905,0.5924246254772694,0.5458335483796973
operating_margin_pct,-0.2656463226565187,-0.18592337221122465,-0.10749441968451622,-0.03903982160336568,-0.006119932790843039
net_margin_pct,-0.26677428540786025,-0.18456911080199026,-0.09435697595425262,-0.02643537335589221,0.0018820857776936707
effective_tax_rate_pct,,,,,0.4607295432139336
dso_days,0.6695291032881039,0.875713913113263,0.9694967637902846,0.9218283062043393,1.3751784884821168
dio_days,93.430927733368,97.76121377163976,74.5890044361843,55.4629282892235,40.482998858783134
dpo_days,50.548758344579,29.522330285936587,26.914077250682176,24.919908500033383,29.084422638951875
capex_pct_revenue,0.08970632287841301,0.1006182788507838,0.08013407687771083,0.08301666634254487,0.0768982859371147
da_pct_revenue,0.04043654007596182,0.05327430314054893,0.05756347375572029,0.059463383961157246,0.057666832969188155
sbc_pct_revenue,0.19812943095203756,0.16390241292600716,0.10527423797899263,0.06131606412425533,0.03960981987716552
